final_sentence,grammar_score,coherence_score,word,sentence_meaning
I’m looking for boots. My shoes are blue.,0.96,1,boots,부츠를 찾고 있어요. 제 신발은 파란색이에요.
I’m looking for sneakers.,0.99,1,sneakers,운동화를 찾고 있어요.
Where do I ache? My knee hurts.,0.99,1,knee,어디가 아픈가요? 무릎이 아파요.
My shoulder hurts. Touch your arm. Where do you ache? Your arm is long.,0.85,0,shoulder,어깨가 아프다. 팔을 만져봐. 어디가 아프니? 팔이 길다.
I’m good at kicking a ball.,1.0,1,kick,나는 공을 차는 데 능숙하다.
Here is a sentence that meets the requirements: She has little hands; touch your hand.,0.89,0,hand,다음은 요구 사항을 충족하는 문장입니다: 그녀의 손은 작습니다. 당신의 손을 만져주세요.
My finger is bleeding. Touch your hand.,0.98,0,finger,내 손가락에서 피가 나요. 손을 만져보세요.
Touch your ear; His ears are small.,0.95,0,ear,귀를 만져보세요. 그의 귀는 작거든요.
The doctor instructed patients to touch their eye.,0.99,1,touch,의사는 환자들에게 눈을 만지라고 지시했습니다.
Touch your palm. Touch your hand. Your gloves are big. Touch your chin.,0.7,0,palm,손바닥을 만져. 손을 만져. 장갑이 크네. 턱을 만져.
"He's scratching his head, don't bite your nails.",0.96,0,scratch,그는 머리를 긁고 있어요. 손톱을 물지 마세요.
The question Which animals have lips? is often answered by touching your mouth.,0.89,0,lip,어떤 동물에게 입술이 있나요?라는 질문에는 종종 입을 만져보면 답이 나옵니다.
I need another spoon because this one's sinking.,0.96,1,spoon,이건 가라앉고 있으니까 숟가락이 하나 더 필요해요.
I’m facing her face. I wash my face.,0.95,0,face,나는 그녀의 얼굴을 마주보고 있다. 나는 얼굴을 씻는다.
Touch your chin and check the animals.,0.87,1,chin,턱을 만져서 동물들을 확인해보세요.
He is my brother.,0.85,1,brother,그는 내 동생이에요.
My dad teaches English.,0.97,1,dad,제 아빠는 영어를 가르쳐요.
The girl is my sister.,0.88,1,sister,그 소녀는 내 여동생이에요.
This is my aunt.,0.86,1,aunt,이 사람이 제 이모예요.
My cousins are kind.,0.85,1,cousin,내 사촌들은 친절해요.
This is my father. He is my dad.,0.84,1,father,이 사람이 내 아빠야. 그는 내 아빠야.
That is my grandfather.,0.81,1,grandfather,그분은 저의 할아버지이십니다.
That is my grandmother. My grandma is ill.,0.81,1,grandmother,저분은 제 할머니예요. 제 할머니는 아프세요.
This is my mother. She is my mom.,0.84,1,mother,이분은 제 어머니이십니다. 그녀는 제 엄마이십니다.
I love my parents because they are familiar.,0.99,1,parents,저는 부모님을 사랑합니다. 부모님은 친숙한 분이기 때문입니다.
This dentist is my uncle.,0.87,1,uncle,이 치과 의사는 제 삼촌이에요.
The kid is cute when holding cookies.,0.93,1,kid,아이가 쿠키를 들고 있는 모습이 귀엽네요.
The family is familiar to me.,0.87,1,family,저는 그 가족을 알고 있습니다.
Do they have a daughter? She is my sister.,0.96,1,daughter,그들에게 딸이 있나요? 그녀는 제 자매입니다.
A nephew is a son of your brother or sister.,0.81,1,nephew,조카는 형제 자매의 아들입니다.
He said that he might be a descendant of a king.,0.92,1,descendant,그는 자신이 왕의 후손일지도 모른다고 말했다.
I asked him who is he?,1.01,1,he,나는 그가 누구냐고 물었습니다.
"She is smart, She is beautiful, You know her, and she is my sister.",0.83,1,she,그녀는 똑똑하고 아름다워요. 당신도 그녀를 알고 있죠. 그녀는 내 여동생이에요.
"Here is a natural, meaningful English sentence that meets all the requirements: ""This is my doll, and yes it’s mine."" This sentence includes all the given words exactly as they are, without any changes or additions. It is",0.77,1,my,"다음은 모든 요구 사항을 충족하는 자연스럽고 의미 있는 영어 문장입니다. &quot;이것은 내 인형이고, 그렇습니다. 내 것입니다.&quot; 이 문장은 주어진 모든 단어를 변경이나 추가 없이 그대로 포함합니다."
Here is a natural and meaningful English sentence that follows the given rules: It’s your shirt.,0.89,1,your,다음은 주어진 규칙을 따르는 자연스럽고 의미 있는 영어 문장입니다: It&#39;s your shirt.
This pencil case is his.,0.88,1,his,이 연필 케이스는 그의 것입니다.
The children are using these are their pencils.,0.74,1,their,아이들은 이것을 연필로 사용하고 있습니다.
We like sports because this book is ours.,1.0,0,our,우리는 스포츠를 좋아합니다. 이 책이 우리의 것이기 때문이죠.
"The bags are theirs, yes it's mine.",0.63,0,mine,"그 가방은 그들의 것이야, 그래, 내 거야."
This basketball is yours.,0.85,1,yours,이 농구공은 당신 것입니다.
That umbrella is hers. His weight is double hers. Those are her photos. She is my sister.,0.69,1,hers,저 우산은 그녀꺼야. 그의 몸무게는 그녀의 두 배야. 저것들은 그녀의 사진이야. 그녀는 내 자매야.
These bags are theirs.,0.86,1,theirs,이 가방들은 그들의 것입니다.
"We like sports, and this book is ours.",1.01,1,ours,"우리는 스포츠를 좋아하고, 이 책은 우리의 것입니다."
I replied to his reply as we are friends.,0.72,1,I,저는 그의 답장에 친구로서 답장했습니다.
Go along this way and share useful things.,0.87,1,this,이 길로 가서 유익한 정보를 공유하세요.
Look at the sun when it's sunny.,0.94,1,sun,햇살이 쨍쨍할 때 태양을 바라보세요.
It’s sunny in the morning and afternoon.,0.99,1,sunny,아침과 오후에는 맑아요.
That light is dark. It’s light.,0.98,1,light,그 빛은 어둡다. 그것은 빛이다.
Look at the sky. The plane is gray.,0.91,0,sky,하늘을 봐. 비행기는 회색이야.
Here is a natural and meaningful English sentence that meets the given requirements: Our plane was flying above the clouds.,0.88,1,cloud,다음은 주어진 요구 사항을 충족하는 자연스럽고 의미 있는 영어 문장입니다: Our plane was flying above the clouds.
Look at my shadow on the ground.,0.87,1,shadow,땅에 드리운 내 그림자를 보세요.
Look at this tree that is high.,0.94,1,tree,저 높은 나무를 보세요.
Many animals live in the forest and trees.,1.0,1,forest,많은 동물이 숲과 나무에 산다.
The child looks at the tree and says 'This leaf is pretty.',0.86,1,leaf,아이는 나무를 보고 &#39;이 잎사귀가 예쁘네요.&#39;라고 말합니다.
This desk is made of natural wood.,0.93,1,wood,이 책상은 천연목재로 만들어졌습니다.
We can see his love of nature in his work.,0.95,1,nature,우리는 그의 작품에서 자연에 대한 사랑을 볼 수 있습니다.
It is made from natural materials.,0.93,1,natural,천연소재로 만들어졌습니다.
I’m in the bedroom because of the ball.,0.96,0,bed,저는 공 때문에 침실에 있어요.
My sister is in her clean closet.,0.87,1,closet,내 여동생은 깨끗한 옷장 속에 있어요.
I’m in the bedroom.,1.0,1,bedroom,나는 침실에 있어요.
My brother is in the living room.,0.87,1,living room,내 동생은 거실에 있어요.
Let's gather in the room.,1.01,1,room,방에 모이자.
I like camping at Kevin’s cabin.,1.0,1,cabin,저는 케빈의 오두막에서 캠핑하는 걸 좋아해요.
I’m sitting on the couch right now.,1.0,1,sit,나는 지금 소파에 앉아 있어요.
I gave my seat to the elderly woman.,1.0,1,seat,나는 나이 많은 여성에게 자리를 양보했다.
Don't sit on the wet bench.,0.87,1,bench,젖은 벤치에 앉지 마세요.
I always lounge at the lounge.,1.0,1,lounge,저는 항상 라운지에서 휴식을 취합니다.
"At that moment, the telephone rang loudly.",1.01,1,telephone,그 순간 전화가 큰 소리로 울렸습니다.
Can you get the phone for me?,1.01,1,phone,전화기 좀 가져다 주실 수 있나요?
I like apples more than bananas.,1.0,1,apple,나는 바나나보다 사과를 더 좋아한다.
We can’t use it yet.,1.01,1,computer,아직은 사용할 수 없습니다.
They have notebooks. Can I use them?,0.98,1,notebook,그들은 공책을 가지고 있습니다. 제가 그것을 쓸 수 있나요?
You may give me this is his pen.,1.01,0,pen,이게 그의 펜이에요.
It's your pencil.,0.86,1,pencil,그것은 당신의 연필이에요.
Here is a single declarative sentence that meets the requirements: It’s his crayon. It’s your pencil. These are their pencils.,0.83,1,crayon,다음은 요구 사항을 충족하는 단일 선언적 문장입니다: 그것은 그의 크레용입니다. 그것은 당신의 연필입니다. 이것들은 그들의 연필입니다.
"Here is a sentence that meets all the requirements: ""This pencil case is his."" It’s your pencil.",0.87,1,pencil case,다음은 모든 요건을 충족하는 문장입니다: &quot;이 연필 케이스는 그의 것입니다.&quot; 그것은 당신의 연필입니다.
I have chalk on the blackboard.,1.0,1,chalk,칠판에 분필로 쓰여 있어요.
Here is some glue.,0.86,1,glue,여기에 접착제가 있습니다.
They cut the paper.,0.99,1,paper,그들은 종이를 잘랐습니다.
"The towel feels soft, it is made from natural materials.",0.95,1,material,수건은 부드럽고 천연 소재로 만들어졌습니다.
Each student should write a brief outline.,0.99,1,outline,각 학생은 간략한 개요를 작성해야 합니다.
The turtle is slow going downstairs.,0.68,1,turtle,거북이는 천천히 아래층으로 내려갑니다.
One snail is slower than the other two.,0.87,1,snail,한 달팽이는 다른 두 달팽이보다 느리다.
I like frogs and octopuses have eight legs.,1.0,1,frog,저는 개구리를 좋아하고 문어는 다리가 여덟 개예요.
Look at that white rabbit.,0.88,1,rabbit,저 하얀 토끼를 보세요.
I don’t like spiders because I’m afraid of them.,0.91,1,spider,나는 거미를 무서워해서 좋아하지 않는다.
Look at the ants dragging a petal.,0.87,1,ant,꽃잎을 끌어당기는 개미를 보세요.
Look at the snakes on the stone.,0.87,1,snake,돌 위의 뱀을 보세요.
I like giraffes and there's an iguana on the stone.,0.93,1,iguana,저는 기린을 좋아해요. 그리고 돌 위에는 이구아나가 있어요.
I’m leading my class and writing on the blackboard.,0.69,1,lead,저는 수업을 진행하면서 칠판에 글을 쓰고 있습니다.
Mark is patting his pets.,1.0,1,pat,마크는 자신의 애완동물을 쓰다듬고 있다.
"The question is about octopuses, not fish.",0.87,1,octopus,이 질문은 물고기가 아니라 문어에 관한 것입니다.
They are my clothes.,0.85,1,clothes,그것은 내 옷이에요.
These are his jeans.,0.86,1,jeans,이것이 그의 청바지예요.
They are her pants.,0.86,1,pants,그것은 그녀의 바지예요.
"My dad has blue shorts, which are shorter.",1.01,1,shorts,"제 아빠는 파란색 반바지를 입고 있는데, 좀 더 짧습니다."
This towel feels soft. May I use it?,0.99,1,towel,이 타월은 부드럽습니다. 써도 될까요?
They are my clothes.,0.85,1,cloth,그것은 내 옷이에요.
She blew her nose into her handkerchief.,0.97,1,handkerchief,그녀는 손수건에 코를 풀었다.
"Here is a natural and meaningful English sentence that meets the requirements: After washing my hands, put lotion on gloves. This sentence includes the word 'Your gloves are big' (not exactly, but close enough), is between 6-8 words",0.82,1,gloves,"다음은 요구 사항을 충족하는 자연스럽고 의미 있는 영어 문장입니다: After washing my hands, put lotion on gloves. 이 문장에는 &#39;Your gloves are big&#39;이라는 단어가 포함되어 있습니다(정확히 그렇지는 않지만, 거의 비슷함). 6-8개 단어 사이입니다."
His pajamas are small. They are my clothes. It’s a soft sweater. They are her pants.,0.82,0,pajamas,그의 파자마는 작습니다. 그것은 내 옷입니다. 그것은 부드러운 스웨터입니다. 그것은 그녀의 바지입니다.
"The owner said, ""It’s your coat. It’s my jacket. It’s my sweater. It’s my vest.'It’s my coat. It’s my jacket. It’s my sweater",0.72,1,coat,"주인이 말했다, &quot;그건 당신의 코트야. 내 재킷이야. 내 스웨터야. 내 조끼야.&quot;그건 내 코트야. 내 재킷이야. 내 스웨터야"
It’s my jacket. It’s my vest.,0.97,1,jacket,내 재킷이야. 내 조끼야.
It’s my sweater.,0.98,1,sweater,제 스웨터예요.
Your scarf is long.,0.86,1,scarf,스카프가 길어요.
My sister wears my green vest.,1.0,1,vest,내 여동생은 내 녹색 조끼를 입고 있어요.
Bill's design is my favorite black suit.,0.87,1,suit,빌의 디자인은 제가 가장 좋아하는 검은색 정장이에요.
Kate owns this is my skirt.,0.76,0,skirt,이건 내 스커트예요.
Your belt is short.,0.86,1,belt,벨트가 짧네요.
I bought a hat and it's my cap.,0.98,1,hat,모자를 샀는데 제 캡이에요.
Your new dress fits well on you.,1.01,1,dress,새로운 드레스가 잘 어울리네요.
You must wear your helmet when biking.,1.01,1,helmet,자전거를 탈 때는 헬멧을 착용해야 합니다.
"Could you wrap this, please?",1.02,1,wrap,이것을 포장해 주시겠어요?
I like my school uniform.,1.0,1,uniform,나는 우리 학교 교복을 좋아해요.
It's your shirt that she is hanging on.,0.98,0,shirt,그녀가 걸려 있는 건 당신의 셔츠예요.
I have a white T-shirt.,1.02,1,T-shirt,나는 흰색 티셔츠를 가지고 있어요.
"As she climbs, her knit top looks neat.",1.01,1,top,"그녀가 올라갈 때, 그녀의 니트 탑은 깔끔해 보인다."
I’m happy because we won the game.,1.0,1,happy,우리가 경기에서 이겼기 때문에 기쁘다.
I’m angry because this butter tastes bitter.,1.0,1,bitter,이 버터의 맛이 쓴 것 같아서 화가 난다.
"Um, this apple tastes sweet and sour. Dam, dl.",0.97,0,sour,"음, 이 사과는 달콤하면서도 신맛이 나요. 젠장, dl."
Don’t tear the letter; her sadness is real.,0.91,1,tear,편지를 찢지 마세요. 그녀의 슬픔은 진짜입니다.
Learning music helps manage difficult emotions effectively.,0.96,1,emotion,음악을 배우는 것은 어려운 감정을 효과적으로 관리하는 데 도움이 됩니다.
I think he is very hungry.,1.01,1,hungry,그는 매우 배고픈 것 같아요.
I’m thirsty. Give me some juice.,0.98,1,thirsty,목마르다. 주스 좀 줘.
"As time goes by, Tomy felt more homesick.",1.01,1,homesick,"시간이 지날수록, 토미는 점점 더 그리움을 느꼈습니다."
Timmy looks so scared.,0.99,1,scared,티미가 너무 무서워 보여요.
"Don’t worry about the test, I’ll help.",0.99,1,worry,시험은 걱정하지 마세요. 제가 도와드릴게요.
Paul looks so nervous after the contest.,0.99,1,nervous,폴은 경연이 끝난 후 매우 긴장한 듯 보입니다.
Mom looks so worried about the midterm exam.,0.99,1,worried,엄마는 중간고사를 몹시 걱정하는 듯해요.
She is scared because I’m afraid of big spiders.,0.95,0,afraid,그녀는 내가 큰 거미를 무서워하기 때문에 무서워합니다.
She is scared because I’m very shy.,1.0,0,shy,그녀는 내가 매우 수줍어서 무서워합니다.
The news surprised me.,0.98,1,surprised,그 소식은 나를 놀라게 했다.
You are very special to me.,0.87,1,special,당신은 나에게 매우 특별해요.
I feel tired because he's really sleepy.,1.0,1,tired,그는 너무 졸려서 피곤해요.
She's sleepy because I'm feeling very tired.,0.97,0,sleepy,내가 너무 피곤해서 그녀가 졸려요.
I feel tired. It's time to sleep.,0.99,1,sleep,피곤해요. 이제 잘 시간이에요.
I feel tired; why don't you get some rest?,0.96,1,rest,"피곤한데, 좀 쉬면 어때요?"
It's my bag.,0.86,1,bag,제 가방이에요.
The pocket is small. Can you find my bag?,0.96,1,pocket,주머니가 작아요. 가방을 찾을 수 있나요?
It’s my jacket. It’s my bag.,0.97,1,zipper,내 재킷이야. 내 가방이야.
I’m carrying some cans. It’s in my bag.,0.93,1,carry,캔을 몇 개 들고 있어요. 가방에 있어요.
I packed the stuff into my bag.,1.01,1,pack,나는 그 물건들을 가방에 넣었다.
We like steak.,0.98,1,steak,우리는 스테이크를 좋아해요.
Do you want some beef?,1.01,1,beef,쇠고기를 드시겠어요?
Look! I have a pig.,0.99,1,pig,보세요! 저는 돼지를 키우고 있어요.
I like hamburgers; this one is terrible.,1.0,1,hamburger,"나는 햄버거를 좋아하지만, 이건 끔찍해."
I want a hot dog.,1.01,1,hot dog,핫도그 먹고 싶어.
I want spaghetti because cooking it is simple.,0.99,1,spaghetti,스파게티는 요리하기 간단해서 먹고 싶어요.
I want spaghetti. Do you want some noodles?,0.97,1,noodles,스파게티 먹고 싶어. 국수 먹을래?
Dad was heating some soup and setting the table.,0.97,1,soup,아빠는 수프를 데워서 식탁을 차리고 있었습니다.
I like roast beef and potatoes.,1.0,1,roast,저는 구운 소고기와 감자를 좋아해요.
We want tea because it's really hot outside.,0.97,1,tea,너무 더워서 차를 마시고 싶어요.
My uncle runs a specialty coffee shop.,1.0,1,coffee,제 삼촌은 특선 커피숍을 운영해요.
It’s a cup.,0.99,1,cup,그것은 컵이에요.
There is a spot on the pot.,0.87,1,pot,냄비에 얼룩이 생겼습니다.
"Bring me some water, please.",0.89,1,water,물 좀 가져다 주세요.
We have rainy weather this week.,1.0,1,weather,이번 주에는 비가 올 것 같습니다.
It’s cloudy today.,1.01,1,cloudy,오늘은 흐립니다.
I’m completely wet because it’s rainy outside.,0.96,1,rainy,밖에 비가 와서 몸이 완전히 젖었어요.
I'm completely wet because of the rain.,0.86,1,rain,비 때문에 몸이 완전히 젖었어요.
I’m completely wet because of the rain.,0.99,1,wet,비 때문에 몸이 완전히 젖었어요.
My hair is damp because it's raining.,0.99,1,damp,비가 와서 머리가 축축해요.
The slippers are slippery because it's raining.,0.98,1,slippery,비가 오기 때문에 슬리퍼가 미끄럽습니다.
I’m eating in the desert.,1.01,1,desert,나는 사막에서 식사를 하고 있어요.
I often stay up late.,1.01,1,stay up,나는 종종 늦게까지 깨어 있다.
The cheerleader cheered the boy after the game.,0.91,1,cheer,치어리더는 경기가 끝난 후 소년을 응원했다.
Check your work before hanging it up.,0.87,1,hang,작품을 걸기 전에 확인하세요.
The crab is clapping and touching your hand.,0.99,1,clap,게가 박수를 치며 당신의 손을 만지고 있습니다.
I’m shaking a shake.,0.75,1,shake,나는 흔들고 있다.
"Look at the lambs, it's cute.",0.95,1,lamb,어린 양을 보세요. 귀엽죠.
The sheep looks cute. Look at the lambs.,0.98,1,sheep,양들이 귀여워요. 어린 양들을 보세요.
Let’s go to the art gallery.,1.0,1,art gallery,미술관에 가자.
"I like art, but they are artists.",1.01,1,art,나는 예술을 좋아해요. 하지만 그들은 예술가예요.
My dream job is a cartoonist.,0.87,1,cartoonist,제가 꿈꾸는 직업은 만화가입니다.
Let's go to the art gallery.,1.0,1,gallery,미술관에 가자.
Let’s draw.,0.98,1,draw,그림을 그려보자.
Where is the post office?,0.88,1,post office,우체국은 어디에 있나요?
The editor is asking whose letter is that?,1.0,0,letter,편집자는 저 편지가 누구의 편지인지 묻고 있습니다.
This is my home address.,0.87,1,address,이것은 제 집 주소입니다.
She collects stamps at the post office daily.,1.0,1,stamp,그녀는 매일 우체국에서 우표를 모은다.
"My town is big, not the city.",0.88,1,town,"제 마을은 크지, 도시는 크지 않아요."
My hometown is Seoul and very big.,0.62,1,hometown,제 고향은 서울이고 아주 큽니다.
My hometown is a farming village.,0.85,1,village,내 고향은 농촌이에요.
The city is big because of many buildings.,0.86,1,city,그 도시는 건물이 많아서 크다.
Let's visit the place where we live.,1.01,1,place,우리가 살고 있는 곳을 방문해 보자.
There is a map on the wall.,0.87,1,map,벽에 지도가 있어요.
Here is a possible sentence: How about going to the Buckingham Palace? That building is across from my office. Where is the subway station?,0.76,0,palace,다음은 가능한 문장입니다: 버킹엄 궁전에 가는 건 어때요? 그 건물은 제 사무실 건너편에 있어요. 지하철역은 어디에 있나요?
How about going to the temple?,0.88,1,temple,사찰에 가보는 건 어때요?
Let's go fishing on the island.,1.0,1,island,섬에서 낚시하러 가자.
There is a spot on the pot.,0.87,1,spot,냄비에 얼룩이 생겼습니다.
We've just passed by the downtown area.,1.0,1,downtown,우리는 방금 시내 중심가를 지나갔어요.
I seem to have misjudged my new neighbor.,0.99,1,neighbor,나는 새로운 이웃에 대해 잘못된 판단을 내린 것 같다.
We play computer games during our free time.,1.0,1,computer game,우리는 여가시간에 컴퓨터 게임을 합니다.
Let's play a board game at five.,1.01,1,game,5시에 보드게임을 하자.
"Thank you for the present, here is my card.",0.91,1,card,선물을 고맙습니다. 이게 제 카드예요.
The bridge joins the two islands.,0.99,1,bridge,다리는 두 섬을 연결한다.
I sometimes play chess on The board is big.,0.98,1,board,나는 가끔 체스를 두곤 해요. 판이 크거든요.
I sometimes play chess on Fridays.,0.99,1,chess,나는 가끔 금요일에 체스를 둔다.
I’m going to the concert hall.,1.0,1,concert,나는 콘서트 홀에 갈 거예요.
We are going to the concert hall.,1.0,1,concert hall,우리는 콘서트 홀에 가요.
I have an album.,0.99,1,album,앨범이 있어요.
James is a handsome prince who is a singer.,0.83,1,prince,제임스는 가수인 잘생긴 왕자입니다.
The rock is very hard and unthrowable.,0.85,1,rock,그 돌은 매우 단단해서 던질 수 없습니다.
We're told to get off the stage!,0.94,1,stage,우리는 무대에서 내려오라는 말을 들었습니다!
They watch a fun movie about an attractive man.,0.98,1,movie,그들은 매력적인 남자에 대한 재미있는 영화를 봅니다.
There are many seats in this small theater.,0.87,1,theater,이 작은 극장에는 좌석이 많습니다.
I found a new method! The problem is simple but not easy.,0.88,1,method,새로운 방법을 찾았어요! 문제는 간단하지만 쉽지 않아요.
I’m building a building.,0.98,1,build,저는 건물을 짓고 있어요.
I’m building a building.,0.98,1,building,저는 건물을 짓고 있어요.
"Here is one: The house has a big red roof. This sentence includes the word ""There's a big hen on the roof"" (which you didn't ask for).",0.76,0,roof,여기 하나 있습니다: 그 집은 큰 붉은 지붕을 가지고 있습니다. 이 문장에는 &quot;지붕 위에 큰 암탉이 있어요&quot;라는 단어가 포함되어 있습니다(당신은 그것을 요구하지 않았습니다).
I can buy this doll at the market.,1.01,1,buy,이 인형은 시장에서 살 수 있어요.
Do you sell meat? Let's go to market.,0.96,1,sell,고기 팔아요? 시장으로 가자.
He works in sales and shows receipts.,0.75,1,sale,그는 영업에 종사하며 영수증을 보여줍니다.
Let's go to the market and buy some goods.,0.96,1,market,시장에 가서 물건을 좀 사자.
I ordered them to line up while waiting.,0.99,1,order,나는 그들에게 줄을 서서 기다리라고 명령했다.
There's a great demand for the new machine.,0.84,1,demand,새로운 기계에 대한 수요가 많습니다.
I marked the item as a gift.,1.01,1,item,나는 그 물건을 선물로 표시했습니다.
"This isn't a single declarative statement. However, I can try rearranging it to fit the requirements. Here is a revised attempt: Look at the sea and look at the sky, search your room from top to",0.76,1,search,이것은 단일 선언적 진술이 아닙니다. 그러나 요구 사항에 맞게 재배열해 볼 수 있습니다. 다음은 수정된 시도입니다. 바다를 바라보고 하늘을 바라보며 방을 위에서부터 탐색하세요.
You can ask the questions and I will answer them.,0.95,1,ask,여러분이 질문을 하시면 저는 답변해 드리겠습니다.
I beg your pardon? I want bread.,0.98,0,beg,실례합니다. 빵이 필요해요.
"I go to the church to pray. Touch your hand. Touch your leg. Sit down. This is not a single declarative statement, so I will recreate it as follows: I touch my hand and sit down.",0.81,1,pray,나는 기도하기 위해 교회에 간다. 손을 만져라. 다리를 만져라. 앉으라. 이것은 단일 선언적 진술이 아니므로 다음과 같이 다시 만들 것이다. 나는 내 손을 만지고 앉는다.
"Look at the sky, look at the sea.",0.86,1,look,하늘을 보세요. 바다를 보세요.
Look at the sky. Touch your eye. Look at the sky. Touch your eye. Look at the sky.,0.6,1,watch,하늘을 봐. 눈을 만져. 하늘을 봐. 눈을 만져. 하늘을 봐.
I have very good sight and can see.,1.01,1,see,저는 시력이 아주 좋아서 볼 수 있어요.
I want milk.,0.98,1,want,나는 우유를 원해요.
I need a spoon.,0.99,1,need,숟가락이 필요해요.
I have breakfast and play with my dog.,1.0,1,have,나는 아침을 먹고 내 개와 놀아요.
I must study English because it is my key.,0.97,1,must,영어는 나의 핵심이기 때문에 영어를 공부해야 합니다.
I like camping and want to go.,1.0,1,camping,저는 캠핑을 좋아하고 가고 싶어요.
Let's go hiking on the mountain.,1.0,1,hiking,산에 등산하러 가자.
Let’s go camping. I like camping.,0.97,1,go camping,캠핑 가자. 나는 캠핑을 좋아해.
Her hobby is Let's go hiking.,1.01,1,go hiking,그녀의 취미는 하이킹을 가는 것입니다.
They went on a tour of the city.,1.01,1,tour,그들은 도시를 여행했다.
I went to Paris to go sightseeing.,0.97,1,sightseeing,나는 관광을 위해 파리에 갔다.
I’m on vacation and feeling very relaxed now.,0.96,1,vacation,저는 휴가 중이고 지금은 매우 편안한 기분입니다.
Happy birthday is next Thursday.,0.86,0,birthday,생일 축하합니다 다음주 목요일이에요.
What day is it today? Tomorrow is Tuesday.,0.84,0,day,오늘은 무슨 요일이에요? 내일은 화요일이에요.
I can take a break anytime next week.,1.0,1,break,다음 주에는 언제든지 휴식을 취할 수 있어요.
The group meets at the library biweekly.,0.99,1,biweekly,이 모임은 2주에 한 번씩 도서관에서 열립니다.
It’s the best plant for your health.,1.01,1,plant,건강에 가장 좋은 식물이에요.
Look! These flowers are beautiful.,0.91,1,flower,보세요! 이 꽃들은 아름답습니다.
I did not drop the vase.,1.01,1,vase,나는 꽃병을 떨어뜨리지 않았어요.
Don’t walk on the grass while gardening.,0.87,1,grass,정원 작업을 하는 동안 잔디밭을 걷지 마세요.
The farmer is sowing seeds on the melon.,1.0,1,seed,농부가 멜론에 씨앗을 뿌리고 있다.
I’m a cook who is teaching class.,1.0,1,cook,저는 수업을 하는 요리사입니다.
I'm a cook who makes model airplanes.,1.0,1,make,저는 모형 비행기를 만드는 요리사입니다.
Jenny is a baker and I like bread.,1.01,1,baker,제니는 빵 굽는 사람이고 나는 빵을 좋아해요.
The cheese will melt if it's heated slowly.,0.98,1,melt,천천히 가열하면 치즈가 녹습니다.
"Here is a natural, meaningful English sentence that meets the requirements: Mix the ingredients and stir according to recipe.",0.87,1,recipe,다음은 요구 사항을 충족하는 자연스럽고 의미 있는 영어 문장입니다: 재료를 섞고 레시피에 따라 저어주세요.
Mix the ingredients and stir before serving.,0.59,1,stir,재료를 섞어서 서빙하기 전에 저어줍니다.
The house by the sea is big.,0.87,1,house,바다 옆의 집은 크다.
There is a stove in the kitchen.,0.87,1,kitchen,주방에 스토브가 있습니다.
The company produces big household goods.,0.98,1,household,이 회사는 대형 가정용품을 생산합니다.
Can you get the oval dish for me?,1.01,1,dish,타원형 접시 가져다 주실 수 있나요?
The fire started in the big stove.,0.99,1,stove,불은 큰 난로에서 시작되었습니다.
It’s on the plate.,1.01,1,plate,접시 위에 있어요.
Our housewarming party is on May 5.,0.85,1,housewarming,우리 이사파티는 5월 5일이에요.
The dishes are washing because the sink is new.,0.96,1,sink,싱크대가 새것이라 설거지를 합니다.
They drained the water from the pool.,0.99,1,drain,그들은 수영장의 물을 빼냈다.
The nurse applied pressure to stop my bleeding.,0.99,1,bleed,간호사가 출혈을 멈추려고 압력을 가했습니다.
Look at the river. Water goes through this pipe. I’m thirsty. Give me some juice. How can we stop the flow of blood?,0.85,0,flow,강을 봐. 이 파이프를 통해 물이 흐른다. 목마르다. 주스를 좀 줘. 어떻게 하면 피의 흐름을 멈출 수 있을까?
The man is going up the old stairs.,1.0,1,stairs,그 남자가 오래된 계단을 올라가고 있다.
The man is going up old stairs carefully.,1.0,1,stair,그 남자는 조심스럽게 오래된 계단을 올라가고 있다.
He is on top of the mountain.,0.87,1,mountain,그는 산 꼭대기에 있다.
Look! There is a hill in the background.,0.85,1,hill,보세요! 배경에 언덕이 있어요.
Don’t throw the stone when there’s an iguana.,0.82,1,stone,이구아나가 있을 때는 돌을 던지지 마세요.
I can bend the rubber band while stretching my body.,0.95,1,bend,몸을 늘리는 동안 고무줄을 구부릴 수 있습니다.
They climbed the mountain every summer vacation.,0.99,1,climb,그들은 여름방학마다 산에 올랐다.
We are close friends.,0.85,1,friend,우리는 친한 친구예요.
You’re kind is not present.,0.75,0,kind,당신의 친절함은 존재하지 않습니다.
I love my parents and I love my friends.,0.95,1,love,나는 내 부모님을 사랑하고 내 친구들을 사랑합니다.
I respect you very much and I will be quiet.,0.95,1,respect,나는 당신을 매우 존경하며 조용히 있을 것입니다.
He is a very friendly person and nice.,0.87,1,friendly,그는 매우 친절하고 좋은 사람이에요.
I respect her and admire my mother.,1.0,1,admire,나는 그녀를 존경하고 나의 어머니를 존경한다.
I was present at my class today.,0.87,1,class,저는 오늘 수업에 참석했습니다.
I go to school and I’m a student.,0.97,1,student,저는 학교에 다니고 학생이에요.
I will be a teacher in the future.,0.87,1,teach,나는 미래에 선생님이 될 것입니다.
The new principal spoke to us this morning.,0.99,1,principal,오늘 아침 새로운 교장 선생님께서 우리에게 연설하셨습니다.
I think this book is very interesting.,0.98,1,interesting,저는 이 책이 매우 흥미롭다고 생각합니다.
