문장 번호,문장,포함된 단어
1534,It's behind the box where we live.,where
1537,She is going upstairs to carry books.,upstairs
1538,That ball is far from me.,far
1542,The fire station is big and has engines.,fire station
1543,The police station is big where I work.,police station
1544,My father is a fire fighter.,fire fighter
1545,I’m a police officer and I love my job.,police officer
1546,I’m a police officer at my local station.,police
1547,The fire engine is red.,fire engine
1549,We must watch out for fire.,fire
1550,The soldier was very brave in war.,soldier
1553,Let's walk up this street.,street
1556,Sit down on your seat.,seat
1557,The boy destroyed my blue chair.,chair
1558,The sofa is black.,sofa
1559,I'm sitting on the couch now.,sit
1561,I always lounge at the community lounge.,lounge
1562,Don't sit on the wet bench.,bench
1563,This dentist is my uncle Mr. Jones.,dentist
1564,Let me examine your teeth and smile.,teeth
1565,That farmer is my grandpa.,farmer
1566,My hometown is a farming village.,farm
1568,They are hairdressers who draw cartoons.,hairdresser
1570,Let's watch the magic show.,magic
1572,My car is being repaired because it's old.,car
1573,"Cars, buses, and airplanes are vehicles.",vehicle
1574,This motorcycle is fast and very fast.,motorcycle
1575,Let's ride bikes.,bike
1576,The truck is stuck in the mud.,truck
1577,Ryan's father is a bus driver.,driver
1578,Let's ride bikes.,ride
1590,The manager trains his team to store goods.,manage
1591,Let's gather in the classroom together.,gather
1596,It's a big apartment in the building.,apartment
1597,I’m in the bedroom and I see a ball.,bed
1598,The closet is clean and my sister is there.,closet
1599,I’m in the bedroom.,bedroom
1600,My brother is in the living room.,living room
1601,Let's gather in the room.,room
1602,There is a shoe store on the second floor.,floor
1603,Don’t move until I tell you carry books.,move
1604,Kevin's cabin is cozy when we go camping.,cabin
1606,The car is inside the garage.,garage
1607,There is a spot on the pot.,spot
1608,Guess who the guest is coming tomorrow.,guest
1609,It's under the desk made of wood.,desk
1611,Close the door because somebody is knocking.,door
1612,The wall is dirty because it's being painted.,wall
1613,Turn right at the second corner.,corner
1614,There's a big hen on the roof.,roof
1619,I entered the room and thanked you.,enter
1620,Let me introduce my cousin to you.,introduce
1624,I will come here when I arrive.,arrive
1625,My dog is at the gate.,gate
1626,I’m in the bedroom.,in
1627,Let's go outside and play.,outside
1629,Many teenagers experience fast growth during puberty.,growth
1636,The wind was strong yesterday.,wind
1638,I get up early.,early
1639,I get up late every single morning.,late
1642,I have some more cake.,more
1647,They watch a fun sad movie.,movie
1648,There are many seats in this theater.,theater
1649,They watch a movie on television.,television
1650,Let's play a board game.,game
1651,We play computer games every weekend.,computer game
1654,We can play computer games on it.,computer
1657,My puppy plays with my toy.,toy
1658,Do you have toy cars at the shop?,toy car
1659,Let's go to the toy shop.,toy shop
1660,I have a doll.,doll
1662,I can fly like Spiderman.,fly
1663,Let's take an airplane and make a model.,airplane
1664,Let's take an airplane and make a model.,plane
1665,My uncle is a pilot.,pilot
1666,We need fresh air when it's windy.,air
1667,It's a small airport near the subway station.,airport
1669,Flying a kite is exciting.,kite
1670,Let's take a helicopter and fly.,helicopter
1674,Look at the sky and look at the sun.,look
1676,I have very good sight.,sight
1678,I have a watch and look at the sky.,watch
1680,I like swimming and going to the sea.,swimming
1681,I like swimming in the sea.,swim
1682,I'm at the pool with my friends.,pool
1684,We had fun at the beach.,beach
1685,I love the taste of chocolate.,taste
1688,The army defended our enemy and protected nature.,protect
1692,They are guarding the starting line.,guard
1693,"Yes, it's mine; those are my shoes.",my
1694,This basketball is yours.,your
1695,This pencil case is his.,his
1699,I like him because he is bad.,him
1700,"Yes, it's mine is not part of this prompt. 

The bags belong to my friends.",mine
1701,"This basketball is yours, thank you.",yours
1702,That umbrella is hers and her sister's.,hers
1703,"These bags are theirs, they're good.",theirs
1704,We like sports and this book is ours.,ours
1710,I like both of them.,both
1712,Tell me about your morning habits daily.,habit
1714,I exercise every day.,every
1717,Let's go to the subway station.,to
1726,Go along this way and take the umbrella.,this
1729,I can walk and look at cans.,can
1730,The teacher is holding whose paintbrush.,whose
1734,We are friends and I am Harry.,I
1738,I can do anything for you.,any
1740,Football is my favorite sport.,favorite
1743,Let's meet there and say nice things.,meet
1744,You like cake and sports.,like
1752,The list includes **her** name.,include
1757,I go to the church to pray.,pray
1761,I have nothing behind my back.,nothing
1762,I can do anything for you.,anything
1765,We are dancers and she can dance.,dance
1766,We are dancers and she can dance.,dancer
1767,"I'm shaking a shake, touch your belly.",shake
1769,I like skiing and we will go.,ski
1770,I like skiing and I also like hiking.,skiing
1771,I like lions and I also like tigers.,lion
1772,Look at the tiger and the elephant.,tiger
1773,This goat is black.,goat
1774,I like giraffes and elephants too.,giraffe
1775,I like kangaroos.,kangaroo
1776,It's a mouse holding your pencil.,mouse
1777,It's a zebra standing next to the elephant.,zebra
1778,They see the pink dolphins in the sea.,dolphin
1779,I’m at the zoo.,zoo
1780,The teddy bear is so big.,bear
1781,Look at the elephant.,elephant
1782,The turtle is slow downstairs.,turtle
1783,One snail is slower than the other two.,snail
1785,I like frogs and elephants too.,frog
1786,I don’t like spiders.,spider
1787,Look at the ants dragging a petal.,ant
1788,Look at the snakes.,snake
1792,Mr. Watson is a kind gentleman.,Mr.
1796,Sit down while I'm waiting for customer.,down
1797,Stand up and walk up this street.,up
1799,Let's switch the switches at home tonight.,on
1801,I won first prize in the contest.,prize
1802,Hard work brings its own happy rewards.,reward
1804,I have two tickets and I bought them.,ticket
1807,My uncle's paintbrush is her brush.,paintbrush
1808,My uncle is painting the wall with faint paint.,paint
1809,I agree with you on both options.,agree
1811,I agree with you both completely.,agree with
1817,We will take a final examination tomorrow.,examination
1818,Let me examine your teeth. Look at the sky.,examine
1819,I like to study in the library.,study
1820,I reviewed the book before the test.,test
1821,I scanned the boy from top to bottom.,scan
1822,Scientists perform many experiments every day.,experiment
1823,I’m a student who wants to graduate.,graduate
1826,Everyone was against me when I hated winter.,hate
1828,The bus stop is small and big.,bus stop
1829,Let's go to the subway station.,subway station
1830,The bus stop is near the train station.,train station
1831,The bus is big and I drive it.,bus
1832,We're going to take the subway now.,subway
1834,You can use the elevator on your right.,elevator
1835,I parked at the park.,park
1837,How about going to Buckingham palace is fun.,palace
1838,We've just passed by the downtown subway station.,downtown
1839,There is a map on the wall.,map
1840,We're at the playground.,playground
1841,Let's take a taxi because I'm a bus driver.,taxi
1842,Let's go to the post office.,post office
1844,She collects stamps at the post office.,stamp
1847,Don't waste money on useless things.,useless
1848,Smart phones are very useful tools.,useful
1850,Don't waste money on useless things like smart phones.,use
1854,I hope so we meet again tomorrow.,hope
1855,I believe in angles because I have friends like you.,believe
1862,I'm going to the library.,library
1865,The office is small between buildings.,office
1867,The teacher wrote That is Susan’s ruler on the blackboard.,ruler
1868,Look at the sun when it's sunny.,sun
1869,It’s sunny in the morning and afternoon.,sunny
1872,That light is dark.,light
1873,"He is bad, I am very bad.",bad
1875,The boy has a runny nose.,runny
1876,I have a runny nose and a cough.,runny nose
1879,I’m counting numbers and adding six.,count
1886,The house is big.,house
1889,The stove is big and used by mom.,stove
1890,I’m at home and I came by bus.,home
1892,The man is going up the stairs.,stairs
1893,The man is going up the stairs.,stair
1894,They climbed the mountain every year.,climb
1895,My cat is fatter than Nina's cat.,fat
1896,Phil is thinner than Emily.,thin
1903,Here is my gift for you.,gift
1907,The waiter served the starter while I cooked.,serve
1908,My goal is to make a goal!,make
1911,Can I get the camera for your picture?,picture
1912,That is his camera.,camera
1915,They're different.,different
1917,I like to travel alone.,alone
1918,Let's gather in the room together.,together
1919,Let's forgive and forget our past mistakes.,forgive
1922,"I’m sorry, I was bad.",sorry
1926,"Don't misunderstand me, I am very lost.",misunderstand
1928,We want tea because we're thirsty.,tea
1929,I want coffee because my uncle owns a shop.,coffee
1930,There is a spot on the pot.,pot
1939,He has a talent for acting.,act
